keyword,type,importance,list1,list2,list3
関わり会う,関係,10,,,
（話題）,トピック,9,,,
（列挙）,トピック,9,,,
（例示）,トピック,9,,,
（キーワード）,トピック,9,,,
（解説図）,トピック,9,,,
～種類の,構造,8,,,
構造,構造,8,,,
成り立つ,構造,8,,,
～つから,構造,8,,,
構成する,構造,8,,,
～の順に,時間変化,6,,,
～してから,時間変化,6,,,
～から～まで,時間変化,6,,,
周期,時間変化,6,,,
サイクル,時間変化,6,,,
期間,時間変化,6,,,
～の場合,状況,4,,,
～の時に,状況,4,,,
この,状況,4,,,
こちらの,状況,4,,,
見た目は,状況,4,,,
比較して,比較,3,,,
くらべて,比較,3,,,
差分,比較,3,,,
～よりも,比較,3,,,
違い,比較,3,,,
具体的には,例示,1,,,
他に,例示,1,,,
～のよう,例示,1,,,
たとえば,例示,1,,,
おおきくわけて,例示,1,,,
条件として,例示,1,,,
～など,例示,1,,,
あるいは,例示,1,,,